ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg
˩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
˨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-
˧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
˦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+
˥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+
ᵊq,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̠,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̥̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̥̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̠̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̠̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̥,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̥,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̟,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ᵊɢ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̚,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̠,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̬,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̟,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̥ː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɢ̥ː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
qː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
q̟ː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
qˑ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɢː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɢ̟ː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɢˑ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ᵊʈ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̚,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̠,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̥̚,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̥̚,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̠̊,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̠̊,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̥,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̥,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̺,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̊,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̊,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̟,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ᵊɖ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̚,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̠,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̺,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ʈ̬,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̟,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,-,0,0
ɖ̥ː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ʈ̥ː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ʈː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ʈ̟ː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ʈˑ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ɖː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ɖ̟ː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ɖˑ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,0,+,0,0
ʈ̻,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0
ɖ̻,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0
ᵊt,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̚,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̠,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̥̚,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̥̚,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̠̊,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̠̊,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̥,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̥,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̺,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̊,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̊,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̟,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
ᵊd,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̚,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̠,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̺,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t̬,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̟,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
d̥ː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
t̥ː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
tː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
t̟ː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
tˑ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
dː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
d̟ː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
dˑ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
d̪̊,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
t̪̊,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
t̪,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
t̻,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
d̪,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
d̻,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0
ᵊp,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̚,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̠,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̥̚,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̥̚,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̠̊,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̠̊,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̥,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̥,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̊,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̊,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̟,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
ᵊb,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̚,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̠,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
p̬,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̟,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0
b̥ː,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
p̥ː,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
pː,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
p̟ː,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
pˑ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
bː,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
b̟ː,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
bˑ,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,+,0,0
ᵊp͡t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̚,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̠,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̥̚,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̥̚,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̠̊,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̠̊,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̼,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
t̼,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̥,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̥,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̺,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̊,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̊,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̟,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
ᵊb͡d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̚,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̠,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̼,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
d̼,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̺,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
p͡t̬,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̟,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0
b͡d̥ː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
p͡t̥ː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
p͡tː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
p͡t̟ː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
p͡tˑ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
b͡dː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
b͡d̟ː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
b͡dˑ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,0,+,0,0
b͡d̪̊,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
p͡t̪̊,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
p͡t̪,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
p͡t̻,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
b͡d̪,-,-,+,-,-,-,-,-,+,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
b͡d̻,-,-,+,-,-,-,-,-,+,-,-,+,+,+,+,-,-,-,-,-,0,-,0,0
q̥ˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ɢ̥ˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
qˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
ɢˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0
qˤː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
qːˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ɢˤː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ɢːˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0
ɖ̥ˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,0,-,0,0
ʈ̥ˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,0,-,0,0
ʈˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,0,-,0,0
ɖˤ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,0,-,0,0
ʈˤː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,0,+,0,0
ʈːˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,0,+,0,0
ɖˤː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,0,+,0,0
ɖːˤ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,0,+,0,0
d̥ˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,0,-,0,0
t̥ˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,0,-,0,0
tˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,0,-,0,0
dˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,0,-,0,0
tˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,0,+,0,0
tːˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,0,+,0,0
dˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,0,+,0,0
dːˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,0,+,0,0
b̥ˤ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
p̥ˤ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
pˤ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
bˤ,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
pˤː,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,+,+,-,-,0,+,0,0
pːˤ,-,-,+,-,-,-,-,-,-,-,-,+,-,0,+,-,+,+,-,-,0,+,0,0
bˤː,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,+,+,-,-,0,+,0,0
bːˤ,-,-,+,-,-,-,-,-,+,-,-,+,-,0,+,-,+,+,-,-,0,+,0,0
b͡d̥ˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,0,-,0,0
p͡t̥ˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,0,-,0,0
p͡tˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,0,-,0,0
b͡dˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,+,-,-,0,-,0,0
p͡tˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,0,+,0,0
p͡tːˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,0,+,0,0
b͡dˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,+,-,-,0,+,0,0
b͡dːˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,+,-,-,0,+,0,0
ᵊc,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̠,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̥̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̥̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̠̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̠̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
cʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
kʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
qʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̥,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̥,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̥ʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɡ̥ʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
k̥ʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
q̥ʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̥ʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɢ̥ʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̟,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ᵊɟ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̚,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̠,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɡʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɢʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̬,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ɟ̟,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
c̥ː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɟ̥ː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
cː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
c̟ː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
cʲː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
kʲː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
qʲː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
cˑ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
cːʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
kːʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
qːʲ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɟː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɟ̟ː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɡʲː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɟʲː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɢʲː,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɟˑ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɡːʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɟːʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
ɢːʲ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
cᶣ,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,-,0,0
